Date,Batting Team,Bowling Team,Striker,Non-Striker,Bowler,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Remaining Runs,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Angle,Shot Magnitude,Wagon Position,Pitching Length,Pitching Line,Shot Connection,False Shot,Feet Movement,Shot Type,Delivery Type,Bowling Side,Bowling Type,Bowling Hand,Catch Difficulty,Bounce_Angle,Pitch_x,Pitch_y,Friction,Restitution,Deviation,Reaction Time,Release Speed,Swing,Swing Distance,Six Distance
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Mitchell Starc,1,0.1,1,1,0,0,0,19.5,0,0,0,1,1,0,0,1,0,119,,0.0,0,0,0,1,0,,,0,170,86,Point,Length Delivery,Middle stump,Good,0,Back Foot,Pushed,Straight Ball,Over,Fast,Left,0.0,9.395,7.502,-0.053,0.226,0.703,0.529,0.458,88.547,-1.269,-0.127,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Mitchell Starc,1,0.2,1,2,0,0,0,19.4,0,0,0,1,1,0,0,2,0,118,,0.0,0,0,0,2,0,,,0,229,85,Mid Off,Length Delivery,Middle stump,Good,0,Front Foot,Forward Defensive,Straight Ball,Over,Fast,Left,0.0,8.744,6.964,-0.016,0.271,0.677,0.03,0.461,88.845,2.033,0.194,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Mitchell Starc,1,0.3,1,3,0,0,0,19.3,0,0,0,1,1,0,0,3,0,117,,0.0,0,0,0,3,0,,,0,326,54,Short Mid Wicket,Length Delivery,Leg stump,Good,0,Back Foot,Worked,Straight Ball,Over,Fast,Left,0.0,9.685,9.042,0.202,0.248,0.632,-0.41,0.458,89.035,-0.337,-0.033,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Mitchell Starc,1,0.4,1,4,0,0,0,19.2,0,0,0,1,1,0,0,4,0,116,,0.0,0,0,0,4,0,,,0,90,48,Wicketkeeper,Short Length,Outside Leg,Missed,1,Back Foot,Pull,Straight Ball,Over,Fast,Left,0.0,12.506,12.48,0.214,0.235,0.572,0.603,0.571,88.035,-0.046,-0.002,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Mitchell Starc,1,0.5,1,5,1,0,1,19.1,0,0,0,1,1,0,0,5,0,115,,1.2,0,1,0,5,1,,,0,213,57,Short Extra Cover,Length Delivery,Middle stump,Inside Edge,1,Down The Track,Drive,InSwinger,Over,Fast,Left,0.0,7.63,6.176,0.016,0.183,0.663,-0.152,0.416,89.509,1.734,0.176,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Mitchell Marsh,Aiden Markram,Mitchell Starc,1,0.6,1,6,6,0,7,19.0,0,0,0,1,1,0,0,6,0,114,,7.0,1,6,0,1,6,,,0,357,185,Deep Square Leg,Length Delivery,Outside Leg,Middled,0,Front Foot,Flick,InSwinger,Over,Fast,Left,0.0,8.628,7.169,0.224,0.115,0.679,-0.23,0.447,88.144,-0.574,-0.054,70.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Axar Patel,1,1.1,2,1,0,0,7,18.5,0,0,0,1,1,0,0,7,0,113,,6.0,0,0,0,6,1,,,0,218,87,Extra Cover,Length Delivery,Outside Off,MisTimed,1,Back Foot,Drive,Stock Ball,Round,Orthodox,Left,0.0,10.636,5.696,-0.496,0.292,0.586,-2.575,0.737,58.321,2.44,0.259,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Axar Patel,1,1.2,2,2,4,0,11,18.4,0,0,0,1,1,0,0,8,0,112,,8.25,0,4,1,7,5,,,0,183,183,Deep Point,Length Delivery,Outside Off,Middled,0,Back Foot,Cut,Stock Ball,Round,Orthodox,Left,0.0,10.546,5.807,-0.456,0.262,0.615,-1.036,0.708,60.866,0.823,0.088,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Aiden Markram,Mitchell Marsh,Axar Patel,1,1.3,2,3,1,0,12,18.3,0,0,0,1,1,0,0,9,0,111,,8.0,0,1,1,8,6,,,0,215,88,Extra Cover,Length Delivery,Outside Off,Good,0,Back Foot,Drive,Stock Ball,Round,Orthodox,Left,0.0,10.88,6.16,-0.255,0.216,0.617,-1.791,0.711,59.182,1.949,0.197,-1.0
2025-3-25 19:30:00,Lucknow Super Giants,Delhi Capitals,Mitchell Marsh,Aiden Markram,Axar Patel,1,1.4,2,4,0,0,12,18.2,0,0,0,1,1,0,0,10,0,110,,7.2,1,0,0,2,6,,,0,216,49,Short Extra Cover,Length Delivery,Outside Off,Good,0,Back Foot,Backward Defensive,Stock Ball,Round,Orthodox,Left,0.0,10.607,5.702,-0.32,0.257,0.606,-1.966,0.703,58.518,1.858,0.198,-1.0
