Date,Batting Team,Bowling Team,Striker,Non-Striker,Bowler,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Remaining Runs,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Angle,Shot Magnitude,Wagon Position,Pitching Length,Pitching Line,Shot Connection,False Shot,Feet Movement,Shot Type,Delivery Type,Bowling Side,Bowling Type,Bowling Hand,Catch Difficulty,Bounce_Angle,Pitch_x,Pitch_y,Friction,Restitution,Deviation,Reaction Time,Release Speed,Swing,Swing Distance,Six Distance
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Priyansh Arya,Prabhsimran Singh,Mohammed Shami,1,0.1,1,1,1,0,1,19.5,0,0,0,1,1,0,0,1,0,119,,6,0,1,0,1,1,,,0,167,104,Backward Square Leg,Back of Length,Outside Leg,Good,0,Back Foot,Worked,InSwinger,Over,Fast,Right,0,9.934,8.557,-0.255,0.170,0.675,-0.432,0.497,83.636,-1.021,-0.083,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Prabhsimran Singh,Priyansh Arya,Mohammed Shami,1,0.2,1,2,1,0,2,19.4,0,0,0,1,1,0,0,2,0,118,,6,0,1,0,1,1,,,0,252,115,Mid Off,Length Delivery,Outside Off,Good,0,Front Foot,Drive,InSwinger,Over,Fast,Right,0,7.470,6.286,-0.388,0.159,0.599,0.411,0.476,84.580,1.492,0.151,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Prabhsimran Singh,Priyansh Arya,Mohammed Shami,1,0.3,1,3,0,0,2,19.3,0,0,0,1,1,0,0,3,0,117,,4,0,0,0,2,1,,,0,208,61,Short Extra Cover,Length Delivery,Outside Off,Good,0,Front Foot,Pushed,Out Swing,Over,Fast,Right,0,7.734,7.268,-0.240,0.186,0.592,0.082,0.490,84.461,-1.464,-0.138,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Prabhsimran Singh,Priyansh Arya,Mohammed Shami,1,0.4,1,4,4,0,6,19.2,0,0,0,1,1,0,0,4,0,116,,9,0,4,1,3,5,,,0,248,201,Long Off,Length Delivery,Off stump,MisTimed,1,Down The Track,Drive,Out Swing,Over,Fast,Right,0,8.695,8.089,-0.105,0.211,0.626,-0.294,0.447,82.306,-1.472,-0.127,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Prabhsimran Singh,Priyansh Arya,Mohammed Shami,1,0.5,1,5,4,0,10,19.1,0,0,0,1,1,0,0,5,0,115,,12,0,4,2,4,9,,,0,225,225,Deep Extra Cover,Length Delivery,Outside Off,MisTimed,1,Front Foot,Drive,Out Swing,Over,Fast,Right,0,8.398,7.444,-0.439,0.166,0.649,0.195,0.472,85.948,-1.296,-0.119,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Prabhsimran Singh,Priyansh Arya,Mohammed Shami,1,0.6,1,6,4,0,14,19,0,0,0,1,1,0,0,6,0,114,,14,0,4,3,5,13,,,0,201,208,Deep Cover,Length Delivery,Outside Off,Middled,0,Down The Track,Drive,Out Swing,Over,Fast,Right,0,7.186,6.188,-0.401,0.134,0.601,-0.369,0.435,85.054,-0.191,-0.019,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Priyansh Arya,Prabhsimran Singh,Pat Cummins,1,1.1,2,1,0,0,14,18.5,0,0,0,1,1,0,0,7,0,113,,12,0,0,0,2,1,,,0,318,49,Short Extra Cover,Length Delivery,Outside Leg,Good,0,Front Foot,Forward Defensive,Straight Ball,Over,Fast,Right,0,8.759,6.728,-0.183,0.186,0.668,0.018,0.472,88.055,-0.071,-0.009,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Priyansh Arya,Prabhsimran Singh,Pat Cummins,1,1.2,2,2,6,0,20,18.4,0,0,0,1,1,0,0,8,0,112,,15,1,6,0,3,7,,,0,174,197,Deep Square Leg,Length Delivery,Outside Leg,Middled,0,Front Foot,Flick,Straight Ball,Over,Fast,Right,0,9.577,8.395,-0.295,0.177,0.656,-0.165,0.467,85.662,-0.340,-0.029,88
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Priyansh Arya,Prabhsimran Singh,Pat Cummins,1,1.3,2,3,4,0,24,18.3,0,0,0,1,1,0,0,9,0,111,,16,1,4,1,4,11,,,0,124,208,Fine Leg,Length Delivery,Outside Leg,Inside Edge,1,Front Foot,Glance,Straight Ball,Over,Fast,Right,0,7.497,6.203,-0.238,0.196,0.582,-0.367,0.464,87.801,-0.556,-0.059,-1
13-04-2025 19:30,Punjab Kings,Sunrisers Hyderabad,Priyansh Arya,Prabhsimran Singh,Pat Cummins,1,1.4,2,4,1,1,25,18.3,0,0,0,1,1,0,0,9,0,111,,16.66,1,0,1,4,11,,,0,90,48,Wicketkeeper,Yorker,Outside Leg,Missed,1,Front Foot,Glance,InSwinger,Over,Fast,Right,0,5.997,1.513,-0.405,0.025,0.577,0.176,0.498,88.684,-1.153,-0.159,-1
