Date,Batting Team,Bowling Team,Striker,Non-Striker,Bowler,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Remaining Runs,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Angle,Shot Magnitude,Wagon Position,Pitching Length,Pitching Line,Shot Connection,False Shot,Feet Movement,Shot Type,Delivery Type,Bowling Side,Bowling Type,Bowling Hand,Catch Difficulty,Bounce_Angle,Pitch_x,Pitch_y,Friction,Restitution,Deviation,Reaction Time,Release Speed,Swing,Swing Distance,Six Distance
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.1,1,1,1,1,1,20.0,0,0,0,1,1,0,0,0,0,120,,0.0,0,0,0,0,0,,,0,90,48,Wicketkeeper,Half Volley,Outside Leg,Missed,1,Front Foot,Glance,InSwinger,Over,Fast,Right,0,6.726,3.695,-0.321,0.13,0.633,-0.258,0.516,86.454,-3.61,-0.438,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.1,1,2,1,1,2,20.0,0,0,0,1,1,0,0,0,0,120,,0.0,0,0,0,0,0,,,0,90,48,Wicketkeeper,Length Delivery,Outside Leg,Missed,1,Front Foot,Glance,InSwinger,Over,Fast,Right,0,6.781,6.786,-0.328,0.081,0.566,-0.324,0.519,86.559,-2.933,-0.284,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.1,1,3,0,0,2,19.5,0,0,0,1,1,0,0,1,0,119,,12.0,0,0,0,1,0,,,0,246,42,Silly Mid On,Length Delivery,Middle stump,Good,0,Front Foot,Forward Defensive,InSwinger,Over,Fast,Right,0,8.193,7.586,-0.049,0.145,0.627,-0.169,0.469,84.054,-2.585,-0.233,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.2,1,4,4,0,6,19.4,0,0,0,1,1,0,0,2,0,118,,18.0,0,4,1,2,4,,,0,297,217,Long Off,Length Delivery,Off stump,MisTimed,1,Down The Track,Drive,Straight Ball,Over,Fast,Right,0,7.724,7.682,0.005,0.108,0.603,0.122,0.435,84.558,-0.218,-0.017,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.3,1,5,6,0,12,19.3,0,0,0,1,1,0,0,3,0,117,,24.0,1,6,1,3,10,,,0,161,196,Deep Backward Square Leg,Length Delivery,Outside Leg,Middled,0,Front Foot,Slog,Straight Ball,Over,Fast,Right,0,8.449,8.524,-0.469,0.165,0.636,0.917,0.444,88.533,-0.537,-0.044,66
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.4,1,6,0,0,12,19.2,0,0,0,1,1,0,0,4,0,116,,18.0,1,0,1,4,10,,,0,270,40,Bowler,Length Delivery,Leg stump,Good,0,Front Foot,Forward Defensive,Straight Ball,Over,Fast,Right,0,8.36,8.064,-0.17,0.063,0.661,0.244,0.45,86.934,-0.709,-0.06,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.5,1,7,4,0,16,19.1,0,0,0,1,1,0,0,5,0,115,,19.2,1,4,2,5,14,,,0,293,211,Long Off,Length Delivery,Outside Off,Middled,0,Front Foot,Drive,Straight Ball,Over,Fast,Right,0,7.098,6.145,0.071,0.094,0.618,0.12,0.445,86.92,0.337,0.027,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Abishek Porel,Karun Nair,Mohammed Siraj,1,0.6,1,8,0,0,16,19.0,0,0,0,1,1,0,0,6,0,114,,16.0,1,0,2,6,14,,,0,21,86,Backward Point,Half Volley,Wide Off,Middled,0,Front Foot,Drive,Straight Ball,Over,Fast,Right,0,5.928,3.244,0.523,0.071,0.574,-0.429,0.451,87.967,0.334,0.047,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Karun Nair,Abishek Porel,Arshad Khan,1,1.1,2,1,1,1,17,19.0,0,0,0,1,1,0,0,6,0,114,,17.0,0,0,0,0,0,,,0,90,48,Wicketkeeper,Length Delivery,Wide Leg,Missed,1,Front Foot,Slog,InSwinger,Over,Fast,Left,0,8.347,5.715,0.557,0.231,0.704,-0.044,0.53,86.087,2.699,0.285,-1
20-04-2025 15:30,Delhi Capitals,Gujarat Titans,Karun Nair,Abishek Porel,Arshad Khan,1,1.1,2,2,1,1,18,19.0,0,0,0,1,1,0,0,6,0,114,,18.0,0,0,0,0,0,,,0,90,48,Wicketkeeper,Half Volley,Outside Leg,Missed,1,Front Foot,Flick,InSwinger,Over,Fast,Left,0,6.532,3.7,0.356,0.135,0.587,-0.237,0.522,85.426,3.283,0.398,-1
